name	type	default	owner	scope	stability	read_phase	replacement	sunset	notes
FERRUM_MOE_GRAPH	bool	1 from CLI run/serve startup default for Qwen3-MoE; env 0 disables	crates/ferrum-cli/src/gpu_mem_autosize.rs; crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	startup	runtime_config.moe.graph	none	Default graph path, gated off when the MoE path is not graph-clean.
FERRUM_VLLM_MOE	bool	1 when FERRUM_MOE_GRAPH is defaulted and vllm-moe-marlin feature is built; env override respected	crates/ferrum-cli/src/gpu_mem_autosize.rs; crates/ferrum-models/src/moe/dispatch.rs; crates/ferrum-kernels/src/backend/cuda/quant.rs	runtime	default	startup	runtime_config.moe.vllm_marlin	none	Selects vLLM Marlin MoE dispatch for graph-clean Qwen3-MoE.
FERRUM_VLLM_MOE_PAIR_IDS	bool	1 when FERRUM_VLLM_MOE is defaulted; env override respected	crates/ferrum-cli/src/gpu_mem_autosize.rs; crates/ferrum-models/src/moe/dispatch.rs	runtime	default	startup	runtime_config.moe.pair_ids	none	Uses vLLM-native pair-id routing layout.
FERRUM_USE_VLLM_PAGED_ATTN	bool	1 when backend supports vLLM paged attention; env 0 disables	crates/ferrum-models/src/models/qwen3_moe.rs	runtime	default	startup	runtime_config.attention.vllm_paged	none	Controls primary Qwen3-MoE paged-decode K/V layout and attention reader.
FERRUM_VLLM_PAGED_ATTN_V1_SHORT	bool	1; env 0 forces old v2 short-context path	crates/ferrum-kernels/src/backend/cuda/vllm_paged_attn.rs	runtime	default	startup	runtime_config.attention.vllm_paged_v1_short	none	Short-context paged attention fast path that avoids the v2 reduce launch.
FERRUM_GREEDY_ARGMAX	bool	0 unless benchmark/script/runtime preset enables it	crates/ferrum-models/src/models/qwen3_moe.rs; crates/ferrum-models/src/models/llama_family_forward_batched.rs	runtime	experimental	request	runtime_config.decode.greedy_argmax	Promote to default only after typed decode config and full API correctness gates	GPU row-argmax fast path; currently still read in decode paths.
FERRUM_UNIFIED_GREEDY_ARGMAX	bool	1 when FERRUM_GREEDY_ARGMAX is enabled; env 0 forces old unified readback	crates/ferrum-models/src/models/qwen3_moe_forward_unified.rs	runtime	experimental	request	runtime_config.decode.unified_greedy_argmax	Remove after unified greedy path is fully typed and defaulted	Escape hatch for unified prefill/decode greedy sentinel handling.
FERRUM_FA_LAYOUT_VARLEN	bool	0; env 1 enables dual-layout FA-friendly K/V pool for varlen prefill	crates/ferrum-models/src/models/qwen3_moe.rs	runtime	experimental	startup	runtime_config.attention.fa_layout_varlen	Retire after source FA2 path owns varlen prefill without duplicate pool	Opt-in FA-compatible K/V layout validated as a modest performance win.
FERRUM_FA2_SOURCE	bool	0; env true/1/on enables source-linked FA2 path	crates/ferrum-models/src/models/qwen3_moe.rs; crates/ferrum-kernels/src/backend/cuda/paged.rs	runtime	experimental	startup	runtime_config.attention.fa2_source	Make default only after all-cell N>=3 confirmation and build dependency ownership	Source-linked FA2 path without vLLM/Torch runtime dependency.
FERRUM_FA2_DIRECT_FFI	bool	auto-on when shim path is set unless env 0/false/off disables	crates/ferrum-models/src/models/qwen3_moe.rs; crates/ferrum-kernels/src/backend/cuda/fa2_ffi.rs	runtime	diagnostic	startup	runtime_config.attention.fa2_direct_ffi	Remove after source-owned FA2 path replaces vLLM/Torch shim dependency	Diagnostic direct FFI path for vLLM/Torch FA2 extension.
FERRUM_FA2_DIRECT_FFI_SHIM	path	unset	crates/ferrum-kernels/src/backend/cuda/fa2_ffi.rs	runtime	diagnostic	startup	runtime_config.attention.fa2_direct_ffi_shim	Remove with FERRUM_FA2_DIRECT_FFI	Runtime-loaded shim path used only for FA2 FFI validation.
FERRUM_ACTIVE_DECODE_PREFILL_CHUNK	integer	unset; 0 disables	crates/ferrum-engine/src/continuous_engine.rs; crates/ferrum-scheduler/src/implementations/continuous.rs	runtime	experimental	request	runtime_config.scheduler.active_decode_prefill_chunk	Retire env after scheduler admission policy is typed	Chunks only prefills admitted while decode is active; throughput-neutral tail experiment.
FERRUM_BACKEND	enum	cuda in M3 benchmark scripts	scripts/m3_*_ab.sh; scripts/m3_*_profile.sh	benchmark	default	test-only	bench_preset.backend	Move into named M3 benchmark preset	Common benchmark case selector for CUDA runs.
